searchSpecies,lat_max,lat_min,lat_range,n,dd
Acacia baileyana,-35.436672,-46.638744,11.202072000000001,158,2.028911937
Acacia dealbata,-35.2147841,-46.560007,11.345222899999996,292,2.263063615
Acacia longifolia,-34.655294,-45.880857,11.225563000000001,983,3.161329355
Acacia mearnsii,-34.903304,-43.78439,8.881086000000003,149,3.156296395
Acacia melanoxylon,-34.4369,-46.895804,12.458903999999997,342,3.350102744
Acacia paradoxa,-34.428131,-43.662611,9.234479999999998,80,1.858293549
Acacia verticillata,-34.7406649,-43.632,8.8913351,122,2.119295908
Acanthus mollis,-35.098003,-46.401043,11.303040000000003,954,1.744099278
Acer negundo,-36.606064,-46.452565,9.846500999999996,221,2.233749677
Acer pseudoplatanus,-35.217281,-47.008479,11.791198000000001,1972,3.338711596
Actinidia chinensis,-35.211805,-44.190085,8.978280000000005,350,2.033152997
Agapanthus praecox,-34.428685,-46.903403,12.474717999999996,1153,0.941876389
Agave americana,-34.903537,-45.897521,10.993983999999998,96,0.793939028
Ageratina adenophora,-34.43637,-41.105858,6.669488000000001,292,1.614080777
Ageratina riparia,-34.944428,-41.320489,6.376061,270,1.141195963
Ageratum houstonianum,-35.177143,-43.641972,8.464829000000002,30,1.357822144
Agrostis capillaris,-34.465467,-46.9374,12.471933,2081,3.205694903
Ailanthus altissima,-36.795217,-45.187687,8.392469999999996,178,2.159905264
Allium triquetrum,-34.823809,-46.902905,12.079096,1142,0.831389296
Alnus glutinosa,-36.483611,-46.897879,10.414268,285,3.596518897
Alocasia brisbanensis,-35.020652,-43.63,8.609348000000004,228,2.274794727
Amphilophium crucigerum,-35.117871,-40.386538,5.268667000000001,17,1.484175571
Angelica pachycarpa,-35.116667,-46.899106,11.782439000000004,265,0.366984292
Araujia sericifera,-34.974508,-43.579178,8.604669999999999,1456,2.462286616
Archontophoenix cunninghamiana,-35.192399,-39.085827,3.893428,245,2.746486314
Arctium minus,-36.916667,-46.659253,9.742586000000003,356,2.153342869
Aristea ecklonii,-34.429978,-43.53434,9.104362000000002,472,-0.359560879
Arum italicum,-35.12119,-46.406292,11.285102000000002,377,1.850703961
Asparagus aethiopicus,-34.816667,-44.411748,9.595081,162,1.709719943
Asparagus asparagoides,-34.933333,-46.256183,11.322850000000003,407,2.006680891
Asparagus scandens,-34.723925,-45.861243,11.137318,1673,2.06438519
Baccharis halimifolia,-37.598611,-43.92532,6.326709000000001,72,2.405657204
Banksia integrifolia,-34.737614,-45.867094,11.129480000000001,487,2.059637337
Bartlettina sordida,-34.823147,-41.28437,6.461223000000004,91,2.045351158
Bellis perennis,-34.433333,-46.901244,12.467911,1458,2.174044354
Berberis darwinii,-38.09705,-46.935899,8.838848999999996,1144,3.273738014
Berberis glaucocarpa,-35.107911,-46.428182,11.320270999999998,647,3.212353059
Betula pendula,-35.993016,-46.560876,10.567860000000003,284,3.900518085
Bidens frondosa,-34.887042,-44.051964,9.164921999999997,358,2.264008378
Bomarea multiflora,-35.116667,-46.901135,11.784467999999997,162,2.064385242
Bromus tectorum,-37.25,-46.405585,9.155585000000002,134,2.795704995
Bryonia cretica,-39.5985981,-39.687915,0.08931690000000003,3,2.84931778
Buddleja davidii,-35.217747,-46.901889,11.684141999999994,1089,2.248810225
Calluna vulgaris,-34.877778,-46.896799,12.019021000000002,474,3.186331589
Carex demissa,-35.228382,-46.900562,11.672179999999997,171,2.16621277
Carex flacca,-34.9897,-46.902455,11.912755000000004,136,2.230815953
Carex leporina,-34.900075,-46.90777,12.007694999999998,513,2.299175941
Carex longebrachiata,-34.733333,-41.2764,6.543067000000001,132,2.272016145
Carex lurida,-37.2422,-43.5378,6.2956,41,2.310192173
Carex scoparia,-35.873,-39.962834,4.089834000000003,21,2.408270371
Carpobrotus chilensis,-34.655444,-45.871581,11.216136999999996,250,1.770626527
Carpobrotus edulis,-34.682265,-46.383609,11.701343999999999,734,1.768127652
Casuarina glauca,-35.941054,-36.899697,0.9586430000000021,7,2.224196045
Celastrus orbiculatus,-35.220278,-43.9407,8.720422,91,3.271815251
Cenchrus alopecuroides,-35.716667,-41.464902,5.748235000000001,14,2.671743062
Cenchrus setaceus,-35.09668,-43.569401,8.472721,73,2.896165053
Centranthus ruber,-35.05,-46.418589,11.368589,1006,0.672067255
Cestrum nocturnum,-34.816667,-41.325542,6.508874999999996,185,2.883004719
Chamaecytisus prolifer,-35.116667,-46.902,11.785333000000001,140,1.880623256
Chrysojasminum humile,-36.85,-45.876573,9.026572999999999,41,3.293138549
Cirsium arvense,-35.575783,-47.054892,11.479109000000001,1225,2.270876214
Cirsium vulgare,-34.43501,-47.1156,12.680590000000002,2582,2.265507202
