searchSpecies,lat_max,lat_min,lat_range,n,dd
Cytisus scoparius,-34.519099,-47.247222,12.728123000000004,4180,2.9265881391508923
Dactylis glomerata,-34.438281,-46.926618,12.488336999999994,2515,2.9995161067367513
Datura stramonium,-35.026253,-46.603543,11.577290000000005,448,-0.4820266764713661
Digitalis purpurea,-35.027561,-46.905756,11.878194999999998,3408,2.7603897060020084
Dolichandra unguis-cati,-35.746389,-43.583033,7.836644,29,1.5170690554953807
Eccremocarpus scaber,-39.619127,-46.416749,6.797622000000004,102,1.6301020279801666
Echium vulgare,-36.159906,-46.45542,10.295513999999997,1761,-0.37797913462406113
Ehrharta erecta,-34.433333,-46.899283,12.46595,949,2.9227613454414945
Ehrharta villosa,-39.9315329,-40.496026,0.5644931,25,0.6585902752146369
Embothrium coccineum,-35.80844,-46.9,11.091560000000001,102,1.9760847795812784
Epilobium hirsutum,-41.269213,-43.785826,2.5166129999999995,144,3.486256844633556
Eragrostis curvula,-34.878364,-45.339067,10.460703000000002,60,0.595654013646794
Erica cinerea,-37.3095,-45.86222,8.55272,81,2.9462603529541167
Erica lusitanica,-34.869802,-46.898748,12.028945999999998,2927,1.0780317276747802
Erigeron karvinskianus,-35,-46.901694,11.901693999999999,1420,1.2589633648257468
Eucalyptus delegatensis,-36.876387,-46.0545,9.178112999999996,93,1.276431977069663
Euonymus europaeus,-35.216667,-46.561611,11.344943999999998,901,2.7740315663970385
Euonymus japonicus,-34.825817,-46.889565,12.063747999999997,517,2.852013678655353
Eupatorium cannabinum,-39.470458,-45.861322,6.3908640000000005,50,2.529455501176039
Fatsia japonica,-34.988098,-45.910608,10.922510000000003,1129,2.843212771372244
Festuca rubra,-36.733333,-46.98,10.246666999999995,1444,2.7935785622046945
Ficus macrophylla,-34.823813,-41.287125,6.463312000000002,375,3.611653362486682
Fraxinus excelsior,-36.13468,-46.445265,10.310584999999996,223,3.3369099216759133
Fuchsia boliviana,-35.217937,-45.861532,10.643594999999998,201,4.171293546071865
Glaucium flavum,-39.06756,-45.632,6.564439999999998,312,0.7696563979103286
Glyceria declinata,-34.983333,-46.891131,11.907798,319,2.06693499643057
Glyceria fluitans,-35.349444,-46.520488,11.171044000000002,151,2.0636601638505665
Glyceria maxima,-34.833945,-46.58542,11.751475,505,2.075746149801335
Gunnera tinctoria,-35.116667,-46.899327,11.78266,642,2.4698681279611625
Gymnocoronis spilanthoides,-35.845998,-43.642056,7.796057999999995,97,2.221032572951951
Hakea gibbosa,-34.396255,-41.809901,7.413646000000007,125,1.246790017113957
Hakea salicifolia,-34.422814,-46.428573,12.005758999999998,363,2.260910004283595
Hakea sericea,-34.395561,-41.428373,7.032812,538,2.247592677261466
Hedera canariensis,-35.221405,-46.23471,11.013305000000003,109,2.0928901999038905
