model_number,species,order,family,ds,log10mdd_family,log10mdd_order,log10mdd,log10mdd_best,,,,,,,,,,,,,,,,,,
2,Berberis darwinii,Ranunculales,Berberidaceae,animal,NA,3.273738014,2.876017932,3.273738014,,,,,,,,,,,,,,,,,,
2,Berberis glaucocarpa,Ranunculales,Berberidaceae,animal,NA,3.212353059,2.803800219,3.212353059,,,,,,,,,,,,,,,,,,
2,Alnus glutinosa,Fagales,Betulaceae,wind.special,2.423069906,2.172942348,2.410444736,2.423069906,,,,,,,,,,,,,,,,,,
2,Alnus glutinosa,Fagales,Betulaceae,animal,3.596518897,3.346391339,3.432064914,3.596518897,,,,,,,,,,,,,,,,,,
2,Betula pendula,Fagales,Betulaceae,wind.special,2.727069095,2.476941537,2.835617266,2.727069095,,,,,,,,,,,,,,,,,,
2,Betula pendula,Fagales,Betulaceae,animal,3.900518085,3.650390528,3.857237444,3.900518085,,,,,,,,,,,,,,,,,,
2,Echium vulgare,Boraginales,Boraginaceae,wind.none,NA,NA,-0.377979135,-0.377979135,,,,,,,,,,,,,,,,,,
2,Opuntia monacantha,Caryophyllales,Cactaceae,animal,NA,2.713545666,2.9261493,2.713545666,,,,,,,,,,,,,,,,,,
2,Opuntia monacantha,Caryophyllales,Cactaceae,ant,NA,1.619626347,2.212976832,1.619626347,,,,,,,,,,,,,,,,,,
2,Centranthus ruber,Dipsacales,Caprifoliaceae,wind.special,0.672067255,0.880837098,1.034985719,0.672067255,,,,,,,,,,,,,,,,,,
2,Leycesteria formosa,Dipsacales,Caprifoliaceae,animal,2.987471793,3.196241636,3.149699469,2.987471793,,,,,,,,,,,,,,,,,,
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,animal,2.012912083,1.943060372,2.12062259,2.012912083,,,,,,,,,,,,,,,,,,
2,Sagina procumbens,Caryophyllales,Caryophyllaceae,wind.none,-0.434994854,-0.504846566,-0.268831421,-0.434994854,,,,,,,,,,,,,,,,,,
2,Casuarina glauca,Fagales,Casuarinaceae,wind.special,NA,2.224196045,2.480356186,2.224196045,,,,,,,,,,,,,,,,,,
2,Celastrus orbiculatus,Celastrales,Celastraceae,animal,NA,NA,3.271815251,3.271815251,,,,,,,,,,,,,,,,,,
2,Euonymus europaeus,Celastrales,Celastraceae,animal,NA,NA,2.774031566,2.774031566,,,,,,,,,,,,,,,,,,
2,Euonymus japonicus,Celastrales,Celastraceae,animal,NA,NA,2.852013679,2.852013679,,,,,,,,,,,,,,,,,,
2,Maytenus boaria,Celastrales,Celastraceae,animal,NA,NA,3.043789519,3.043789519,,,,,,,,,,,,,,,,,,
2,Cornus capitata,Cornales,Cornaceae,animal,NA,NA,2.916368801,2.916368801,,,,,,,,,,,,,,,,,,
2,Cotyledon orbiculata,Saxifragales,Crassulaceae,wind.none,NA,NA,0.764517929,0.764517929,,,,,,,,,,,,,,,,,,
2,Sedum acre,Saxifragales,Crassulaceae,animal,NA,NA,1.997915457,1.997915457,,,,,,,,,,,,,,,,,,
2,Sedum acre,Saxifragales,Crassulaceae,wind.none,NA,NA,-0.391538554,-0.391538554,,,,,,,,,,,,,,,,,,
2,Bryonia cretica,Cucurbitales,Cucurbitaceae,animal,NA,NA,2.84931778,2.84931778,,,,,,,,,,,,,,,,,,
2,Carex demissa,Poales,Cyperaceae,animal,2.16621277,2.311874882,1.926333811,2.16621277,,,,,,,,,,,,,,,,,,
2,Carex flacca,Poales,Cyperaceae,animal,2.230815953,2.376478065,2.024963613,2.230815953,,,,,,,,,,,,,,,,,,
2,Carex leporina,Poales,Cyperaceae,animal,2.299175941,2.444838052,2.121959439,2.299175941,,,,,,,,,,,,,,,,,,
2,Carex longebrachiata,Poales,Cyperaceae,wind.none,-0.175890792,-0.030228681,-0.296199591,-0.175890792,,,,,,,,,,,,,,,,,,
2,Carex longebrachiata,Poales,Cyperaceae,animal,2.272016145,2.417678256,2.093254421,2.272016145,,,,,,,,,,,,,,,,,,
2,Carex lurida,Poales,Cyperaceae,animal,2.310192173,2.455854284,2.145327571,2.310192173,,,,,,,,,,,,,,,,,,
2,Carex scoparia,Poales,Cyperaceae,animal,2.408270371,2.553932482,2.279108928,2.408270371,,,,,,,,,,,,,,,,,,
2,Cyperus eragrostis,Poales,Cyperaceae,animal,2.537993413,2.683655524,2.456054721,2.537993413,,,,,,,,,,,,,,,,,,
2,Schoenoplectus californicus,Poales,Cyperaceae,animal,2.579050219,2.724712331,2.536826829,2.579050219,,,,,,,,,,,,,,,,,,
2,Calluna vulgaris,Ericales,Ericaceae,wind.none,0.738424652,0.701349176,0.709026089,0.738424652,,,,,,,,,,,,,,,,,,
2,Calluna vulgaris,Ericales,Ericaceae,animal,3.186331589,3.149256113,3.0984801,3.186331589,,,,,,,,,,,,,,,,,,
2,Erica cinerea,Ericales,Ericaceae,wind.none,0.498353416,0.46127794,0.371053042,0.498353416,,,,,,,,,,,,,,,,,,
2,Erica cinerea,Ericales,Ericaceae,animal,2.946260353,2.909184877,2.760507054,2.946260353,,,,,,,,,,,,,,,,,,
2,Erica lusitanica,Ericales,Ericaceae,wind.none,1.078031728,1.040956252,1.200779893,1.078031728,,,,,,,,,,,,,,,,,,
2,Rhododendron ponticum,Ericales,Ericaceae,wind.none,1.061569702,1.024494226,1.200927137,1.061569702,,,,,,,,,,,,,,,,,,
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,animal,3.202793838,3.174412046,2.806477324,3.202793838,,,,,,,,,,,,,,,,,,
2,Homalanthus populifolius,Malpighiales,Euphorbiaceae,ant,2.108874518,2.080492727,2.093304856,2.108874518,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,ballistic,1.301558882,1.27317709,0.966078787,1.301558882,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,ant,1.810070247,1.781688456,1.681136859,1.810070247,,,,,,,,,,,,,,,,,,
2,Ricinus communis,Malpighiales,Euphorbiaceae,animal,2.903989567,2.875607775,2.394309327,2.903989567,,,,,,,,,,,,,,,,,,
2,Acacia baileyana,Fabales,Fabaceae,ant,NA,2.028911937,2.275219305,2.028911937,,,,,,,,,,,,,,,,,,
2,Acacia baileyana,Fabales,Fabaceae,wind.none,NA,0.674924319,0.598937762,0.674924319,,,,,,,,,,,,,,,,,,
2,Acacia dealbata,Fabales,Fabaceae,ant,NA,2.263063615,2.774707687,2.263063615,,,,,,,,,,,,,,,,,,
2,Acacia dealbata,Fabales,Fabaceae,wind.none,NA,0.909075997,1.098426144,0.909075997,,,,,,,,,,,,,,,,,,
2,Acacia dealbata,Fabales,Fabaceae,ballistic,NA,1.754552249,2.059649615,1.754552249,,,,,,,,,,,,,,,,,,
2,Acacia longifolia,Fabales,Fabaceae,ant,NA,2.067410035,2.327731768,2.067410035,,,,,,,,,,,,,,,,,,
2,Acacia longifolia,Fabales,Fabaceae,animal,NA,3.161329355,3.040904236,3.161329355,,,,,,,,,,,,,,,,,,
2,Acacia longifolia,Fabales,Fabaceae,wind.none,NA,0.713422417,0.651450225,0.713422417,,,,,,,,,,,,,,,,,,
2,Acacia mearnsii,Fabales,Fabaceae,ant,NA,2.062377075,2.478363833,2.062377075,,,,,,,,,,,,,,,,,,
2,Acacia mearnsii,Fabales,Fabaceae,wind.none,NA,0.708389457,0.80208229,0.708389457,,,,,,,,,,,,,,,,,,
2,Acacia mearnsii,Fabales,Fabaceae,animal,NA,3.156296395,3.191536301,3.156296395,,,,,,,,,,,,,,,,,,
2,Acacia melanoxylon,Fabales,Fabaceae,animal,NA,3.350102744,3.478495387,3.350102744,,,,,,,,,,,,,,,,,,
2,Acacia melanoxylon,Fabales,Fabaceae,ant,NA,2.256183425,2.765322919,2.256183425,,,,,,,,,,,,,,,,,,
2,Acacia paradoxa,Fabales,Fabaceae,ant,NA,1.858293549,2.017721639,1.858293549,,,,,,,,,,,,,,,,,,
2,Acacia paradoxa,Fabales,Fabaceae,wind.none,NA,0.504305931,0.341440096,0.504305931,,,,,,,,,,,,,,,,,,
2,Acacia verticillata,Fabales,Fabaceae,ant,NA,2.119295908,2.398505524,2.119295908,,,,,,,,,,,,,,,,,,
2,Biancaea decapetala,Fabales,Fabaceae,wind.none,NA,0.341564312,0.152567243,0.341564312,,,,,,,,,,,,,,,,,,
2,Chamaecytisus prolifer,Fabales,Fabaceae,ballistic,NA,1.372111891,1.501128348,1.372111891,,,,,,,,,,,,,,,,,,
2,Chamaecytisus prolifer,Fabales,Fabaceae,ant,NA,1.880623256,2.21618642,1.880623256,,,,,,,,,,,,,,,,,,
2,Cytisus multiflorus,Fabales,Fabaceae,ballistic,NA,1.448193701,1.436899581,1.448193701,,,,,,,,,,,,,,,,,,
2,Cytisus scoparius,Fabales,Fabaceae,ballistic,NA,1.324157454,1.259369044,1.324157454,,,,,,,,,,,,,,,,,,
2,Cytisus scoparius,Fabales,Fabaceae,animal,NA,2.926588139,2.687599584,2.926588139,,,,,,,,,,,,,,,,,,
2,Cytisus scoparius,Fabales,Fabaceae,ant,NA,1.83266882,1.974427116,1.83266882,,,,,,,,,,,,,,,,,,
2,Lupinus arboreus,Fabales,Fabaceae,ballistic,NA,1.264482276,1.186312151,1.264482276,,,,,,,,,,,,,,,,,,
2,Lupinus polyphyllus,Fabales,Fabaceae,ballistic,NA,0.221398644,0.213822377,0.221398644,,,,,,,,,,,,,,,,,,
2,Paraserianthes lophantha,Fabales,Fabaceae,ballistic,NA,1.371121209,1.351949318,1.371121209,,,,,,,,,,,,,,,,,,
2,Pultenaea daphnoides,Fabales,Fabaceae,ant,NA,1.906655046,2.07534636,1.906655046,,,,,,,,,,,,,,,,,,
2,Robinia pseudoacacia,Fabales,Fabaceae,wind.none,NA,0.83487557,0.993463797,0.83487557,,,,,,,,,,,,,,,,,,
2,Senna septemtrionalis,Fabales,Fabaceae,ballistic,NA,1.241405674,1.146493343,1.241405674,,,,,,,,,,,,,,,,,,
2,Spartium junceum,Fabales,Fabaceae,ballistic,NA,1.34598489,1.297483955,1.34598489,,,,,,,,,,,,,,,,,,
2,Spartium junceum,Fabales,Fabaceae,ant,NA,1.854496255,2.012542027,1.854496255,,,,,,,,,,,,,,,,,,
2,Spartium junceum,Fabales,Fabaceae,animal,NA,2.948415575,2.725714495,2.948415575,,,,,,,,,,,,,,,,,,
2,Ulex europaeus,Fabales,Fabaceae,ballistic,NA,1.353710054,1.299679602,1.353710054,,,,,,,,,,,,,,,,,,
2,Ulex europaeus,Fabales,Fabaceae,animal,NA,2.956140739,2.727910141,2.956140739,,,,,,,,,,,,,,,,,,
2,Ulex europaeus,Fabales,Fabaceae,ant,NA,1.862221419,2.014737673,1.862221419,,,,,,,,,,,,,,,,,,
2,Quercus robur,Fagales,Fagaceae,animal,2.630782868,2.81648391,2.723516835,2.630782868,,,,,,,,,,,,,,,,,,
2,Ribes sanguineum,Saxifragales,Grossulariaceae,animal,NA,NA,2.910701742,2.910701742,,,,,,,,,,,,,,,,,,
2,Ribes uva-crispa,Saxifragales,Grossulariaceae,animal,NA,NA,2.744261041,2.744261041,,,,,,,,,,,,,,,,,,
2,Gunnera tinctoria,Gunnerales,Gunneraceae,animal,NA,NA,2.469868128,2.469868128,,,,,,,,,,,,,,,,,,
2,Hypericum androsaemum,Malpighiales,Hypericaceae,animal,3.50062638,3.534476085,3.272845067,3.50062638,,,,,,,,,,,,,,,,,,
2,Hypericum perforatum,Malpighiales,Hypericaceae,wind.none,0.074782363,0.108632067,0.024532465,0.074782363,,,,,,,,,,,,,,,,,,
2,Hypericum perforatum,Malpighiales,Hypericaceae,animal,2.5226893,2.556539004,2.413986476,2.5226893,,,,,,,,,,,,,,,,,,
2,Aristea ecklonii,Asparagales,Iridaceae,wind.none,NA,-0.359560879,-0.433405834,-0.359560879,,,,,,,,,,,,,,,,,,
2,Iris foetidissima,Asparagales,Iridaceae,animal,NA,1.771750477,1.536040152,1.771750477,,,,,,,,,,,,,,,,,,
2,Moraea flaccida,Asparagales,Iridaceae,wind.none,NA,-0.402467235,-0.48601276,-0.402467235,,,,,,,,,,,,,,,,,,
2,Moraea flaccida,Asparagales,Iridaceae,animal,NA,2.045439703,1.903441251,2.045439703,,,,,,,,,,,,,,,,,,
2,Juglans ailantifolia,Fagales,Juglandaceae,animal,2.511564671,2.622938231,2.445255,2.511564671,,,,,,,,,,,,,,,,,,
2,Juncus acutus,Poales,Juncaceae,animal,2.336567438,2.720772142,2.508850403,2.336567438,,,,,,,,,,,,,,,,,,
2,Juncus articulatus,Poales,Juncaceae,animal,2.406787902,2.790992605,2.594123759,2.406787902,,,,,,,,,,,,,,,,,,
