searchSpecies,lat_max,lat_min,lat_range,n,dd
Dolichandra unguis-cati,-35.746389,-43.583033,7.836644,25,1.5170690550000001
Eccremocarpus scaber,-39.619127,-46.416749,6.797622000000004,94,1.630102028
Echium vulgare,-36.36725,-46.45542,10.088169999999998,1295,-0.377979135
Ehrharta erecta,-34.433333,-46.899283,12.46595,830,2.922761345
Ehrharta villosa,-39.9315329,-40.496026,0.5644931,24,0.658590275
Embothrium coccineum,-36.6465,-46.9,10.253499999999995,93,1.97608478
Epilobium hirsutum,-41.269213,-43.785826,2.5166129999999995,123,3.486256845
Eragrostis curvula,-34.878364,-45.339067,10.460703000000002,58,0.595654014
Erica cinerea,-37.3095,-45.86222,8.55272,65,2.946260353
Erica lusitanica,-35.003971,-46.898748,11.894776999999998,1078,1.078031728
Erigeron karvinskianus,-35,-46.901694,11.901693999999999,1096,1.258963365
Eucalyptus delegatensis,-36.876387,-46.0545,9.178112999999996,89,1.276431977
Euonymus europaeus,-35.216667,-46.561611,11.344943999999998,748,2.774031566
Euonymus japonicus,-35.107401,-46.561587,11.454186,443,2.852013679
Eupatorium cannabinum,-39.470458,-45.861322,6.3908640000000005,42,2.529455501
Fatsia japonica,-34.988098,-45.910608,10.922510000000003,1011,2.843212771
Festuca rubra,-36.354417,-46.98,10.625582999999999,1248,2.793578562
Ficus macrophylla,-34.946389,-41.287125,6.340736,329,3.611653362
Fraxinus excelsior,-36.596387,-46.445265,9.848878,189,3.336909922
Fuchsia boliviana,-35.217937,-41.759517,6.541580000000003,179,4.171293546
Glaucium flavum,-39.178,-45.632,6.454000000000001,274,0.769656398
Glyceria fluitans,-35.349444,-46.520488,11.171044000000002,147,2.063660164
Gunnera tinctoria,-35.116667,-46.899327,11.78266,512,2.469868128
Gymnocoronis spilanthoides,-35.845998,-43.642056,7.796057999999995,94,2.221032573
Hakea gibbosa,-34.42968,-38.083333,3.6536530000000056,65,1.246790017
Hakea salicifolia,-35.1,-46.428573,11.328572999999999,309,2.260910004
Hakea sericea,-34.397538,-41.428373,7.030835000000003,363,2.247592677
Hedera canariensis,-35.285134,-46.23471,10.949576,95,2.0928902
Hedera helix,-35.103397,-46.901886,11.798488999999996,1989,1.952731544
Hedychium gardnerianum,-34.741388,-45.846321,11.104933000000003,1278,2.143175861
Helichrysum petiolare,-34.9,-45.892542,10.992542,293,1.231432897
Helosciadium nodiflorum,-35.258861,-46.589444,11.330582999999997,492,1.857579194
Hieracium levicaule,-39.249347,-45.938775,6.6894279999999995,600,1.10222862
Holcus lanatus,-34.4457,-46.9577,12.512,2832,3.083628857
Homalanthus populifolius,-34.771572,-43.807245,9.035673000000003,275,3.202793838
Humulus lupulus,-36.898634,-46.573288,9.674653999999997,149,1.410402252
Hypericum androsaemum,-35.015411,-46.906715,11.891303999999998,1088,3.50062638
Hypericum perforatum,-34.9821,-46.401712,11.419612,694,2.5226893
Ilex aquifolium,-35.723909,-46.907739,11.18383,1092,3.117893325
Impatiens glandulifera,-36.900784,-46.900111,9.999327000000001,267,0.474755728
Iris foetidissima,-35.2481151,-46.560272,11.312156899999998,887,1.771750477
Jacobaea vulgaris,-34.989586,-47.000031,12.010444999999997,1952,2.489401842
Juglans ailantifolia,-35.213762,-43.6593,8.445537999999999,114,2.511564671
Juncus acutus,-35.016667,-41.4351261,6.4184591,306,2.336567438
Juncus articulatus,-34.4457,-46.8956636,12.449963599999997,1062,2.406787902
Juncus bulbosus,-34.641777,-46.875521,12.233744000000002,308,1.90958491
Juncus squarrosus,-41.590921,-47.168702,5.577781000000002,134,2.149009489
Kennedia rubicunda,-35.114155,-41.2841322,6.169977200000005,36,1.101916997
Lantana camara,-34.748463,-43.644066,8.895603000000001,201,2.890349588
Larix decidua,-37.208056,-46.19569,8.987634,199,2.594534771
Laurus nobilis,-35.116475,-46.880432,11.763956999999998,373,2.461074793
Leptospermum laevigatum,-35.916667,-43.593712,7.677045,31,2.291696365
Leucanthemum vulgare,-34.414275,-46.898395,12.484119999999997,961,2.387281907
Leycesteria formosa,-35.181024,-46.900111,11.719087000000002,1655,2.987471793
Ligustrum lucidum,-35.137527,-46.539606,11.402079,1035,3.226071713
Ligustrum sinense,-34.991,-45.8431,10.8521,897,3.165327888
Ligustrum vulgare,-35.389722,-46.604832,11.215110000000003,107,3.168848776
Lilium formosanum,-34.735126,-43.71534,8.980213999999997,429,1.027704507
Lolium perenne,-35.227287,-46.894151,11.666864000000004,492,2.824857092
Lomatia fraseri,-41.1561,-44.41099,3.254889999999996,108,1.904289107
Lonicera japonica,-35.100861,-46.89615,11.795288999999997,1985,1.789246796
Lophospermum erubescens,-34.518145,-39.0793,4.5611550000000065,18,1.392502662
Luma apiculata,-36.7342,-46.903207,10.169007,75,3.421044314
Lupinus arboreus,-34.424958,-46.930875,12.505917000000004,2318,1.264482276
Lupinus polyphyllus,-36.851662,-46.900111,10.048449000000005,738,0.221398644
Lycium ferocissimum,-35.518461,-46.639714,11.121252999999996,825,3.147674291
Lycopus europaeus,-34.476819,-44.105417,9.628598000000004,408,2.314330789
Lythrum salicaria,-36.409397,-46.391237,9.981839999999998,254,2.7609706
Maytenus boaria,-36.847511,-46.439836,9.592325000000002,500,3.043789519
Medicago lupulina,-34.436782,-46.422278,11.985495999999998,376,1.812753942
Melianthus major,-34.733333,-46.899578,12.166244999999996,340,2.847797169
Miscanthus nepalensis,-35.3,-42.721711,7.421711000000002,234,1.809909333
Moraea flaccida,-35.579722,-43.529047,7.949325000000002,40,2.045439703
Myoporum insulare,-34.975333,-45.821588,10.846255,120,1.948585845
Myricaria germanica,-41.951972,-44.374248,2.4222760000000036,73,1.967984735
Nardus stricta,-39.362043,-46.543458,7.181415000000001,38,2.822638422
Nassella neesiana,-36.861,-43.589,6.7280000000000015,55,2.787525421
Nassella tenuissima,-35.183333,-46.143222,10.959889000000004,82,0.551681698
Nassella trichotoma,-34.956667,-45.2098187,10.253151699999997,529,2.747544591
Ochna serrulata,-35.217937,-43.52959,8.311653,64,2.98930947
Olea europaea,-35.256722,-43.661443,8.404720999999995,133,3.037321324
Opuntia monacantha,-34.981499,-43.826097,8.844597999999998,65,2.713545666
Osteospermum moniliferum,-34.74252,-45.894711,11.152191000000002,1324,2.879046366
Paraserianthes lophantha,-34.4118,-46.879319,12.467519000000003,933,1.371121209
Paspalum distichum,-34.755844,-43.640744,8.884899999999995,660,2.687697105
Passiflora caerulea,-34.755,-45.275465,10.520464999999994,174,2.042396922
Passiflora edulis,-34.680437,-39.557968,4.877531000000005,118,2.029669185
Passiflora mixta,-35.224722,-44.396409,9.171686999999999,121,2.821526912
Passiflora pinnatistipula,-36.833333,-45.851703,9.018369999999997,86,2.06438538
Passiflora tarminiana,-34.988467,-45.882733,10.894266000000002,253,2.821526912
Passiflora tripartita,-35.616222,-46.898495,11.282272999999996,602,3.001594377
Persicaria capitata,-34.833333,-45.902479,11.069145999999996,297,0.519715991
Phalaris arundinacea,-35.002833,-46.586667,11.583833999999996,156,3.092025035
Phoenix canariensis,-35.207546,-46.417871,11.210324999999997,425,2.457336942
Phragmites karka,-36.863209,-40.973745,4.110536000000003,122,3.373104967
Phytolacca icosandra,-34.526086,-43.867782,9.341695999999999,1073,2.718212406
Pilosella officinarum,-38.131214,-46.599,8.467785999999997,2035,0.884724805
Pilosella piloselloides,-38.288858,-45.9573,7.668441999999999,1115,1.139988559
Pinus contorta,-36.881532,-45.893499,9.011966999999999,425,2.822089106
Pinus halepensis,-36.848198,-46.162455,9.314257000000005,33,2.529457769
Pinus monticola,-37.904495,-43.593716,5.689221000000003,39,2.651119657
Pinus mugo,-37.209295,-46.221,9.011705,124,3.617423176
Pinus muricata,-35.498175,-46.480721,10.982546,167,2.613426943
Pinus nigra,-36.248187,-46.343,10.094813000000002,317,2.693318367
Pinus patula,-36.73,-46.187901,9.457901,132,2.678430451
Pinus pinaster,-35.631321,-46.584399,10.953077999999998,280,2.577355887
Pinus ponderosa,-36.916667,-46.433427,9.516760000000005,189,2.673280591
Pinus radiata,-34.398711,-46.900694,12.501983000000003,1488,2.646882027
Pinus strobus,-36.924667,-45.458,8.533332999999999,100,2.733184499
Pinus sylvestris,-36.868944,-45.886038,9.017094,142,3.936893086
Pinus thunbergii,-35.791136,-46.162455,10.371319,33,2.538792927
Pinus uncinata,-36.958361,-46.212,9.253639000000007,45,2.398196875
Pittosporum undulatum,-34.742214,-36.966667,2.224453000000004,22,3.158053085
Poa annua,-34.990944,-46.615427,11.624482999999998,586,2.879043088
