authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Acacia baileyana F.Muell.,Acacia baileyana,NA,Cootamundra wattle,"shrub or tree to 10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20baileyana, accessed 16/6/2023); aril",shrub-tree,shrub,10,NZPCN: Waste places and scrubland,NA,pod with arillate seeds,fleshy,arillate seed,0.02181,ant,NA,ant,wind.none,NA,NA,NA,NA,Morgan et al. 2002; O'Dowd & Gill 1986; NZPCN,Seed dispersed a short distance form parent plant by wind and gravity (NZPCN),Seeds dispersed by ants in Australia and South Africa (Morgan et al. 2002); Animal; Diaspore is carried intentionally; Direct or experimental observation; (O'Dowd & Gill 1986); Ants.; Iridomyrmex sp.; Diaspore=seed. The seed has an aril or aril-like structure.,NA,NA,2022-06-02T00:00:00Z,45092,2022-06-19T00:00:00Z,2,1,1
Acacia dealbata Link,Acacia dealbata,Racosperma dealbatum in Flora,silver wattle,"shrub to large tree; Bushy shrub or spreading tree to 30 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20dealbata, accessed 15/6/2023)",shrub-tree,tree,30,"NZ Flora Online: bank, clay, coast, dry, gravel, hill, margin, open, pasture, riparian, river terrace, riverbed, roadside, sand, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland; NZPCN: A plant of riverbed habitats and waste places. Prefers relatively high fertility and light.",riparian,pod with arillate seeds,fleshy,fleshy aril,0.01268,ant,NA,ant,internal,wind.none,water,NA,NA,O'Dowd & Gill 1986; Cronk & Fuller 1995; Higgins et al. 2006,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988); ballistic dispersal (Timmins & Mackenzie 1995) - but no evidence for this in its morphology so not included.,"seeds in silvereye droppings, Australia (Higgins et al. 2006). Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by wind & water (Cronk & Fuller 1995)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,4,1,3
Acacia longifolia (Andrews) Willd.,Acacia longifolia,Acacia sophorae; Racosperma longifolium in Flora,Sydney golden wattle,"shrub or small tree; Shrub or erect tree, (0.5–) 1–10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20longifolia, accessed 15/6/2023)",shrub-tree,shrub,10,"NZ Flora Online: coast, dry, gap, loam, lowland, sand, shrubland, slope; NZPCN: Shrubland, coastal areas, dry banks and river beds",riparian,pod with arillate seeds,fleshy,fleshy aril; elaiosome,0.01486,ant,NA,ant,internal,wind.none,NA,NA,NA,Rice & Westoby 1981; O'Dowd & Gill 1986; Pemberton & Irving 1990; Higgins et al. 2006; Marchante et al. 2010; Smart et al. 2023; NZPCN,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988); Seeds dispersed locally by wind and gravity (NZPCN),"Seed has an elaiosome (Pemberton & Irving 1990). Seeds dispersed by ants (Smart et al. 2023). Acacia longifolia seedlings have been reported under nests of collared dove (Streptopelia decaocto) in Portugal (Marchante et al. 2010). Other Australian Acacia species with arrillate seeds are ant-dispersed (Berg 1975). A. sophorae (synonym, O'Dowd & Gill 1986): Animal; Diaspore is carried or eaten intentionally depending upon the species of disperser; Direct or experimental observation; Ants+birds.; Rhytidoponera metallica; Meliphaga chrysops; Meliphaga virescens; Diaspore=seed; The seed has an aril or aril-like structure. Fruits eaten by silvereyes in Australia (as A. sophorae, Higgins et al. 2006). myrmecochorous (Rice & Westoby 1981)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,3,1,2
Acacia mearnsii De Wild.,Acacia mearnsii,Racosperma mearnsii in Flora,black wattle,"shrub to large tree; Spreading shrub or mostly erect tree to 10 (–16) m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20mearnsii, accessed 15/6/2023). Usu. Grows taller in NZ (K. McAlpine)",shrub-tree,tree,10,"NZ Flora Online: clay, dry, gully, hill, loam, open, pasture, river terrace, roadside, sand, shrubland, slope, stone, terrace, unstable/eroded, wasteland; NZPCN: Waste places, scrubland, pasture, riverbanks",riparian,pod with arillate seeds,fleshy,fleshy aril,0.01325,ant,NA,ant,wind.none,internal,water,NA,NA,O'Dowd & Gill 1986; NZPCN; Cronk & Fuller 1995,has no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988). Seed dispersed locally by wind and gravity (NZPCN),Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by mammals & water (Cronk & Fuller 1995),NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,4,1,3
Acacia melanoxylon R.Br.,Acacia melanoxylon,Racosperma melanoxylon in Flora,Tasmanian blackwood,"aril pink to crimson or red, shrub or tree normally a relatively large tree; Tree 6–30 (–45) m high; sometimes a shrub 1.5–3 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20melanoxylon, accessed 15/6/2023)",shrub-tree,tree,30,"NZ Flora Online:  bank, clay, dry, lowland, margin, open, roadside, slope, track; NZPCN: Waste places, often coastal, especially near plantations",NA,pod with arillate seeds,fleshy,"pink to crimson or red, large fleshy aril, elaiosome",0.01358,internal,ant,internal,ant,water,NA,NA,NA,O'Dowd & Gill 1986; Pemberton & Irving 1990; Cronk & Fuller 1995; Higgins et al. 2006,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,Animal; Diaspore is eaten intentionally; Direct or experimental observation; Birds.; Meliphaga chrysops; Diaspore=seed. The seed has an aril or aril-like structure (O'Dowd & Gill 1986); dispersed by birds & water (Cronk & Fuller 1995); seed has an elaiosome (Pemberton & Irving 1990). Fruits eaten by silvereyes in Australia (Higgins et al. 2006).,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,3,2,2
Acacia paradoxa DC.,Acacia paradoxa,Racosperma paradoxum in Flora,kangaroo acacia,Shrub or small tree up to 3 m high,NA,shrub,3,"NZ Flora Online: clay, dry, lowland, margin, open, roadside, sand, slope, stone, wasteland. NZPCN: Open sites usually of low fertility near the coast",NA,pod with arillate seeds,fleshy,fleshy aril,0.014,ant,NA,ant,wind.none,NA,NA,NA,NA,Berg 1975; NZPCN,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988). Spreads locally by wind and gravity (NZPCN).,"Animal; Diaspore is carried intentionally; Direct or experimental observation; Ants.; Aphaenogaster longiceps (Berg, 1975)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,2,1,1
Acacia verticillata (L'Her.) Willd.,Acacia verticillata,Racosperma verticillatum in Flora,prickly moses,"shrub to small tree. Shrub or erect tree to 10 m high (Flora of Australia https://profiles.ala.org.au/opus/foa/profile/Acacia%20verticillata, accessed 15/6/2023)",shrub-tree,shrub,10,"NZ Flora Online: bank, clay, coast, dry, forest edge, gully, hill, lowland, margin, moist, open, peat, roadside, sand, scrubland, sheltered, shrubland, stone, terrace, unstable/eroded",NA,pod with arillate seeds,fleshy,fleshy aril,0.00886,ant,NA,ant,NA,NA,NA,NA,NA,Armstrong 1998,Acacia spp. have no structures directly aiding active seed dispersal and large seeds (>10 mg) (Esler 1988).,"Has elaiosome and is dispersed by ants (The Unforgettable Acacias. Modified from: Armstrong W. P. 1998, Zoonooz 71 (8): p. 28 - 31  http://waynesword.palomar.edu/plaug99.htm. Accessed 7/1/2010)",NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
Acanthus mollis L.,Acanthus mollis,NA,bear's breeches,NA,NA,herb,1.2,"Usually found near old settlements, in partial shade and along riverbanks.",riparian,capsule,dry,explosive capsule,0.208,ballistic,NA,ballistic,water,internal,NA,NA,NA,Esler 1988; NZPCN,"Propulsion of seed is achieved by the sudden release of the stout funiculus (retinaculum), which is held under tension in the ripening capsule (Esler 1988). Has no structures directly aiding active dispersal and large seeds >10 mg (Elser 1988). Dispersed by gravity, water and birds (NZPCN website, accessed 13 April 2023).",NA,attachment or internal,NA,2022-06-02T00:00:00Z,45030,2023-04-13T00:00:00Z,3,1,2
Acer negundo L.,Acer negundo,NA,box elder,tree to c. 17 m high,NA,tree,17,NA,NA,samara,dry,winged seed,0.03598,wind,NA,wind,NA,NA,NA,NA,41.1,Matlack 1987,NA,41.1 m estimated lateral distance in a 10 km/hr breeze (Matlack 1987),NA,NA,2023-09-29T00:00:00Z,NA,2023-09-29T00:00:00Z,1,1,0
Acer pseudoplatanus L.,Acer pseudoplatanus,NA,sycamore,seed is dispersed by wind and can be dispersed up to 85m from parent plants,NA,tree,20,"NZPCN: Coastal and lowland plant on sites with high fertility. Grows in a wide range of open forest and scrub types with moderately high light levels. NZ Flora Online:  bank, clay, coast, dry, forest, gap, gully, hill, loam, lowland, margin, open, pasture, riparian, roadside, rock outcrop, sand, shaded, sheltered, shrubland, slope, stone, terrace, track, wasteland",riparian,samara,dry,winged seed,0.09509999999999999,wind,NA,wind,internal,attachment,NA,NA,85,Jones 1945; Webb et al. 1988; Matlack 1987; Cronk & Fuller 1995; Spurr et al. 2011; Albert et al. 2015,Wind dispersal by wings (Webb et al. 1988; Esler 1988). Bellbirds feed on seeds (Spurr et al. 2011),"Wind; Diaspore is blown by wind; Method not stated; (Matlack, 1987, cited in Kew SID 19/6/2022); Diaspore=samara. The diaspore has wings.
    Wind; Diaspore is blown by wind; Direct or experimental observation; (Farmer, 1997, cited in Kew SID, 19/6/2022); Diaspore=samara. The diaspore has wings or wing-like features. wind dispersed (Cronk & Fuller 1995). Seeds are dispersed in fur and on hooves of deer (Albert et al. 2015); dispersal by wind, usu. over short distances only, though flights of 4 km have been recorded. Rate of fall about 0.9 m/s. Maximum distance of dispersal in 'tolerably strong breeze' from height of 15 m is 36-85 m...seed in bird droppings (Jones 1945).",NA,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z,3,1,2
Actinidia chinensis Planch. (GBIF Taxon key: 3189694),Actinidia chinensis,Actinidia deliciosa; Actinidia chinensis var. deliciosa,kiwifruit,seed mass from A. chinensis; min and max seed no. were estimated from graph,vine,shrub,NA,"NZ Flora Online: bank, coast, dry, flat , forest, forest edge, gravel, loam, lowland, margin, moist, open, peat, sand, shaded, sheltered, shrubland, stone, terrace, track, wasteland",NA,berry,fleshy,fleshy,0.0016,internal,NA,internal,NA,NA,NA,NA,NA,Sullivan & Williams 2002; Logan & Xu 2006; Higgins et al. 2006,"Silvereye flocks commonly feed on both wild & orchard fruits; Rats also feed on fallen fruit; Reject fruits commonly fed to stock including deer, suggesting feral deer will feed on fallen fruit & disperse seeds (Sullivan & Williams 2002). Silvereyes feed on fruits (Higgins et al. 2006).","Japan: intact seeds of Actinidia spp. (A. arguta & A. polygama) found in mammal droppings - bear, marten, badger, fox & racoon dog (Koike et al. 2008). Intact seeds of A. arguta found in bear droppings (Takahashi et al. 2008).",NA,NA,2023-06-15T00:00:00Z,NA,2023-06-15T00:00:00Z,1,1,0
Adiantum raddianum C.Presl.,Adiantum raddianum,NA,NA,NA,NA,NA,NA,NA,NA,NA,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA
Agapanthus praecox Willd.,Agapanthus praecox,NA,agapanthus,flowering stems 0.6-1.2m tall,NA,herb,1.2,NA,NA,capsule,dry,winged seed,NA,wind,NA,wind,NA,NA,NA,NA,NA,Esler 1988,NA,NA,NA,NA,2022-06-02T00:00:00Z,45030,NA,1,1,0
Agave americana L.,Agave americana,NA,century plant,scape 7-10m high,NA,shrub,10,"NZPCN: Thrives in dry conditions, coastal cliffs, sand dunes. NZ Flora online: bank, clay, cliff, coast, dry, gravel, lake margin, lava, lowland, open, pasture, ridge, roadside, rock outcrop, sand, scrubland, shrubland, silt, stone, terrace, track",NA,capsule,dry,flattened seed,0.00898,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,ETNZF says unspecialised,"Based on dispersal of A. angustifolia: Wind; Diaspore is blown by wind; Direct or experimental observation; (Vazquez & Givnish, 1998); Diaspore is winged. But A. potatorum doesn't have winged seeds. Agave seeds are dispersed by wind https://agaveinarizona.wordpress.com/2014/01/27/agave-americana-seeds/comment-page-1/",dispersal based on morphology,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z,0,1,0
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ageratina adenophora,Eupatorium adenophorum,"Mexican devil, cats paw",herb to subshrub,NA,herb,3,"NZPCN: Lightly shaded frost-free areas, e.g. forest edges, shrublands, wetlands, streamsides, open forest, inshore and offshore islands, gumlands, slips, alluvial flats, coast and estuaries; NZ Flora Online: clay, coast, dry, forest, gap, gully, lava, log, margin, moist, open, ridge, roadside, scrubland, shaded, slope, stone, track",riparian,achene,dry,pappus,5.5e-5,wind,NA,wind,NA,NA,NA,NA,NA,Fromont & King 1992; Timmins & Mackenzie 1995; Cronk & Fuller 1995,NA,wind dispersed (Cronk & Fuller 1995),NA,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z,1,1,0
Ageratina riparia (Regel) R.M.King & H.Rob.,Ageratina riparia,NA,mist flower,herb to subshrub,NA,herb,1,"NZPCN: coastal, lowland (Timmins & MacKenzie 1995). Forest margin, damp banks and streamsides, slips (Timmins & MacKenzie 1995). NZ Flora Online: bank, clay, coast, forest, gorge, gully, hill, loam, lowland, margin, moist, open, pasture, roadside, sand, shaded, sheltered, shrubland, slope, stone, wasteland.",riparian,achene,dry,pappus,NA,wind,NA,wind,NA,NA,NA,NA,NA,Fromont & King 1992; Timmins & Mackenzie 1995,NA,NA,NA,NA,2022-06-02T00:00:00Z,45030,2022-06-19T00:00:00Z,1,1,0
Ageratum houstonianum Mill.,Ageratum houstonianum,NA,ageratum,"ETNZF says seeds dispersed in birds gut, but fruit is dry",NA,herb,1,"NZ Flora Online: bank, clay, dry, gap, hill, lake margin, margin, open, pasture, ridge, river terrace, roadside, sand, sheltered, slope, stone, terrace, track, wasteland; NZPCN: Prefers open sunny spots along forest edges",riparian,achene,dry,pappus,1e-4,wind,NA,wind,NA,NA,NA,NA,NA,NZPCN,NZPCN 19 June 2022: Dispersed by people and the wind.,"Based on A. conyzoides: Animal; Diaspore is carried accidentally; Assumption based upon diaspore morphology; (Mori & Brown, 1998); Diaspore=fruit. The diaspore has spiny, spiky, hooked or barbed projections or awns. Wind; Assumption based upon diaspore morphology; (Foster et al., 1986)",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,1,1,0
Agrostis capillaris L.,Agrostis capillaris,NA,browntop,NA,grass,herb,1,"NZ Flora Online:  alpine, bank, clay, cliff, coast, dry, flat , forest, forest edge, gap, grassland, gravel, hill, lake margin, log, lowland, margin, open, pasture, peat, ridge, roadside, rock outcrop, scree, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, wasteland ; NZPCN: scrub and forest margin, both short and tall tussocklands, herbfields, fernlands, sanddunes and river beds",riparian,caryopsis,dry,none,7.5e-5,unspecialised,NA,attachment,internal,wind.none,water,NA,NA,Timmins & Mackenzie 1995; Couvreur et al. 2004; Mouissie et al. 2005; Albert et al. 2015; Almeida et al. 2022,"Seed dispersed by wind, water, humans and vertebrates (Timmins & Mackenzie 1995).","seeds attached to real sheep fleece in considerable numbers, also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005); Seeds dispersed by deer internally and attached to hooves (Albert et al. 2015); seeds dispersed attached to cattle, donkey and horse fur (Couvreur et al. 2004). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,4,1,4
Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,Toxicodendron altissimus,tree of heaven,NA,NA,tree,25,"NZ Flora Online: bank, clay, coast, dry, flat, forest edge, gravel, gully, hill, lowland, margin, open, pasture, river terrace, roadside, sand, sheltered, shrubland, slope, stone, terrace, wasteland",riparian,samara,dry,winged seed,0.0292,wind,NA,wind,water,NA,NA,NA,200-7500,"Kaproth & McGraw 2008; Farmer 1997, cited in SID",NA,"Kaproth & McGraw 2008: primarily dispersed by wind, but seeds have high viability after 5 months in water. Dispersal distances by water longer than wind. Farmer 1997 (cited in Kew SID): Diaspore is blown by wind; Direct or experimental observation; Diaspore=samara. The diaspore has wings or wing-like features.",NA,NA,2022-06-02T00:00:00Z,NA,2022-06-19T00:00:00Z,2,1,1
Akebia quinata Decne.,Akebia quinata,NA,"chocolate vine, five-leafed akebia",fruits rare; numerous seeds embedded in translucent gelatinous pulp,NA,NA,NA,NA,NA,berry-like dehiscent,fleshy,fleshy,NA,NA,NA,NA,NA,NA,NA,NA,NA,Koike et al. 2008; Takahashi et al. 2008,NA,"Japan: intact seeds of Akebia spp. (A. quinata & A. trifoliata) found in mammal droppings - bear, marten, badger, fox & racoon dog (Koike et al. 2008). Japan: intact seeds found in bear droppings (Takahashi et al. 2008).",NA,rare,NA,NA,NA,0,0,NA
Allium triquetrum L.,Allium triquetrum,NA,onion weed,"plant up to 0.5m tall, scape up to 0.6 high",NA,herb,0.6,"NZ Flora Online: bank, clay, dry, forest, gravel, hill, lowland, moist, open, pasture, roadside, sand, shaded, slope, stone, terrace, tree, wasteland; NZPCN: Disturbed forest and shrubland, streamsides, herbfields, bare land. Especially after spraying or other clearance to bare land.",riparian,capsule,dry,elaiosome,NA,ant,NA,ant,NA,NA,NA,NA,NA,Pemberton & Irving 1990,has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).,seed has an elaiosome (Pemberton & Irving 1990),NA,NA,2022-06-02T00:00:00Z,45033,NA,1,1,0
Alnus glutinosa (L.) Gaertn.,Alnus glutinosa,NA,common alder,NA,NA,tree,15,"NZ Flora Online: coast, lake margin, lowland, margin, moist, open, pasture, sand, shaded, sheltered, silt, stone; NZPCN: riparian areas along rivers and lakes.",riparian,catkin,dry,"winged nut, retain viability in water for long periods",0.005,wind,NA,wind,water,attachment,internal,NA,NA,"Young & Young 1992, cited in SID; Couvreur et al. 2004; Rosenthal 2006; Albert et al. 2015; Almeida et al. 2022",NA,"Diaspore is blown by wind; Direct or experimental observation (Young, J.A. and Young, C.G. 1992. Seeds of Woody Plants in North America. Dioscorides Press, Oregon, Portland. Cited in Seed Information Database); Diaspore=nut. The diaspore has wings or wing-like features. Seeds have been known to remain viable after floating in freshwater for 12 months. Wind - winged seed; water - unwettable, floating tissue, specific weight <1 (Rosenthal 2006). Seeds dispersed by deer in fur and on hooves (Albert et al. 2015); seeds dispersed attached to cattle fur (Couvreur et al. 2004).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,4,1,3
Alocasia brisbanensis (F.M.Bailey) Domin,Alocasia brisbanensis,Alocasia macrorrhiza,Elephant's ear,NA,NA,herb,3,"NZ Flora Online: bank, dry, hill, lowland, margin, moist, open, pasture, riparian, roadside, sand, shrubland, slope, stone, terrace. NZPCN: Wetlands, streamsides, river systems, heavily disturbed shrubland and forest, damp frost-free open areas, regenerating ex-pasture.",riparian,berry,fleshy,fleshy,0.01,internal,NA,internal,NA,NA,NA,NA,NA,West 1996,Widespread distribution throughout Raoul Island and onto the Meyer Islets has probably resulted from birds dispersing the seeds (West 1996). Bird-dispersed (West 1996),NA,NA,NA,2023-06-15T00:00:00Z,45092,2023-06-15T00:00:00Z,1,1,0
Aloe maculata All.,Aloe maculata,Aloe saponaria in Flora,"spotted aloe, soap aloe",NZPCN website; accessed 11 April 2023: seed apparently not formed; Probably exclusively vegetative in New Zealand,NA,herb,1,NA,NA,capsule,dry,NA,0.001645,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Probably exclusively vegetative spread in NZ (NZPCN website, accessed 11 April 2023).",NA,NA,none,2022-06-02T00:00:00Z,NA,2022-06-19T00:00:00Z,0,0,NA
Alternanthera philoxeroides (Mart.) Griseb.,Alternanthera philoxeroides,NA,alligator weed,Does not produce seeds (Timmins & Mackenzie 1995); has undeveloped seeds (Esler 1988); Fruit not seen (NZ Flora Online),NA,NA,NA,NA,NA,utricle,aquatic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2023-04-17T00:00:00Z,NA,NA,0,0,NA
Calamagrostis arenaria (L.) Roth.,Calamagrostis arenaria,Ammophila arenaria,marram grass,"seed production appears to be low (Timmins & Mckenzie 1995); Low amounts of seed are produced. Seed viability is low, with no contribution to the seed bank (NZPCN).",grass,herb,1.7,"NZ Flora Online: coast, dry, grassland, moist, open, pasture, sand, shrubland, slope; NZPCN: Coastal plant, usually occurs on sand dunes, can occur in inland sites with low fertility.",NA,caryopsis,dry,ring of hairs at base of lemma and palea (James et al. 2012),0.003,NA,NA,NA,NA,NA,NA,NA,NA,Timmins & Mackenzie 1995; Atkinson 1997; Bouman et al. 2000 cited in Kew SID.,NZPCN: Can spread large distances via seed. Seed is dispersed by wind.,"Wind; Diaspore is blown by wind; Method not stated; (Bouman et al., 2000)",NA,rare,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,0,0,NA
Amphilophium crucigerum (L.) L.G.Lohmann,Amphilophium crucigerum,Pithecoctenium crucigerum,monkey's comb,"not in Flora; Clayson's notes: vine; NZPCN 16 June 2022: vine, fruit is a large flattened woody capsule (up to 30 x 7 cm) that is very spiny, and contains winged seeds.",vine,shrub,NA,NA,NA,capsule,dry,winged seed,0.05579,wind,NA,wind,NA,NA,NA,NA,NA,NZPCN,"Ogle, C. (2022): Amphilophium crucigerum Fact Sheet (content continuously updated). New Zealand Plant Conservation Network. https://www.nzpcn.org.nz/flora/species/amphilophium-crucigerum/ (16 June 2022)",NA,NA,NA,2022-06-16T00:00:00Z,44728,2022-06-19T00:00:00Z,1,1,0
Andropogon virginicus L.,Andropogon virginicus,NA,broomsedge,anthers and caryopsis not seen (Webb et al. 1988),NA,NA,NA,NA,NA,caryopsis,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,flowers sterile or not developed (Cronk & Fuller 1995),NA,none,NA,NA,NA,0,0,NA
Angelica pachycarpa Lange,Angelica pachycarpa,NA,angelica,NA,NA,herb,0.6,"NZ Flora Online: cliff, coast, dry, grassland, gravel, moist, open, pasture, roadside, rock outcrop, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland; NZPCN: Mainly coastal, waste places",NA,schizocarp,dry,"flattened fruit with lighter, spongy lateral wings",0.00817,unspecialised,NA,water,wind.none,NA,NA,NA,NA,NZPCN,"dispersed by humans, wind, water (NZPCN)",Angelica sylvestris dispersed by water (Ecological Flora of the British Isles),dispersal based on morphology,NA,2022-06-02T00:00:00Z,45033,2023-04-17T00:00:00Z,2,1,2
Anredera cordifolia (Ten.) Steenis,Anredera cordifolia,NA,madeira vine,NA,NA,NA,NA,NA,NA,indehiscent,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,NA,NA,NA,0,0,NA
Aponogeton distachyos L.f.,Aponogeton distachyos,NA,cape pondweed,freshwater aquatic,NA,herb,0.06,NZ Flora Online: freshwater aquatic; NZPCN: Still and flowing water bodies,riparian,follicle,aquatic,spongy outer testa,NA,water,NA,water,NA,NA,NA,NA,NA,"Cook 1987, cited in SID",NA,"Water; Method not stated; (Cook, 1987, cited in Kew SID)",NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,1,1,0
Araujia sericifera Brot.,Araujia sericifera,Araujia hortorum,"moth vine, moth plant",vine; fruit split lengthwise to release numerous blackish-coloured seeds (4-8 mm long) that are topped with a tuft of long white silky hairs (20-30 mm long),vine,shrub,10,"NZ Flora Online: hill, roadside, sand, shrubland; Timmins & McKenzie: coastal, lowland cliff, bluff, waste places and other modified habitats",NA,NA,dry,seeds topped with a tuft of long hairs,NA,wind,NA,wind,water,NA,NA,NA,NA,Timmins & McKenzie 1995; Vivianne-Smith & Panetta 2005; Killick 2017,NA,"mean floating time of seeds was 15.4 days, suggesting that water could act as a secondary dispersal vector, contributing to long-distance dispersal (Vivianne-Smith & Panetta 2005)",NA,NA,2022-06-02T00:00:00Z,45033,NA,2,1,1
Archontophoenix cunninghamiana (H.Wendl.) H.Wendl. & Drude,Archontophoenix cunninghamiana,NA,bangalow palm,not in Flora - recent naturalisation. Info available on Weedbusters website.,NA,tree,13,"Weedbusters: gullies, stream banks, swampy areas. Grows readily in shaded area of canopy cover.",riparian,NA,fleshy,fleshy,0.5682,internal,NA,internal,water,NA,NA,NA,NA,"Weedbusters; Zona & Henderson 1989, cited in Kew SID","Bird spread the seeds long distances. Also spread by water and gravity. (Weedbusters https://www.weedbusters.org.nz/what-are-weeds/weed-list/bangalow-palm/, accessed 15/6/2023","Birds dispersed (Zona & Henderson 1989, cited in SID)",NA,NA,NA,45092,2023-06-15T00:00:00Z,2,1,1
Arctium minus (Hill) Bernh.,Arctium minus,NA,burdock,NA,NA,herb,1.5,"NZ Flora Online:  bank, coast, forest, forest edge, grassland, hill, lowland, margin, open, pasture, riverbed, roadside, sand, slope, stone, terrace, track, wasteland; NZPCN: Forest margins, waste places, roadsides, creek beds.",riparian,achene,dry,pappus; hooked involucral bracts and ready detachment of mature head,0.0089,attachment,NA,attachment,wind.none,internal,water,NA,NA,Esler 1988; Webb et al. 1988; Green 2016; Almeida et al. 2025; NZPCN,"Capitual is desseminal due to hooked involucral bracts and ready detachment of mature head (Esler 1988). Dispersed by wind, water, people (NZPCN); Artium species have hooked tips on the stiff recurved involucral bracts thyat serve in dispersal of capitula at fruiting (Webb et al. 1988). Arctium lappa has adhesion mechanisms and is found in sheeps fleece (Webb et al. 1988).",seeds ingested by waterfowl in North America (Almeida et al. 2025),NA,NA,2022-06-02T00:00:00Z,45033,2022-06-19T00:00:00Z,4,1,3
Aristea ecklonii Baker,Aristea ecklonii,NA,blue-eyed iris,"plant up to 0.8m; flower clusters borne at tips of stems, scapes to 0.45m high",NA,herb,0.45,"NZ Flora Online: bank, clay, coast, dry, hill, lowland, open, pasture, ridge, roadside, wetland; NZPCN: Shrubland, open and disturbed forest (esp Kauri), herbfields, bush margins, gumland, coastline, rocky and bare land, especially in warm areas.",NA,capsule,dry,none,0.0012150000000000002,unspecialised,NA,wind.none,water,NA,NA,NA,NA,"NZPCN website, accessed 11 April 2023","NZPCN: seed dispersed by people, wind, water; ETNZF says unspecialised",NA,NA,NA,2022-06-02T00:00:00Z,45027,2022-06-19T00:00:00Z,2,1,2
Artemisia verlotiorum Lamotte,Artemisia verlotiorum,NA,Chinese mugwort,Peter de Lange pers. comm. 20/7/2022: never seen setting seed,NA,herb,2,NA,NA,achene,dry,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mosyakin et al. 2019,NA,"A. verlotiorum is a long-lived rhizomatous perennial forming large colonies by vegetative propagation, sometimes combined with sexual reproduction and seed dispersal; although dispersal by means of fragments of underground parts (rhizomes & stolons) in soil and plant material seems to be the primary mode, at least in Europe (Verloove et al. 2021). Some seeds wind dispersed (Mosyakin 2019)",NA,none,2022-06-02T00:00:00Z,NA,NA,0,0,NA
