authority,species,synonym,common name,notes,form,growth.form,height,habitat,riparian,fruit.type,category,dispersal.adaptations,seed.mass,syndrome1,syndrome2,mechanism1,mechanism2,mechanism3,mechanism4,mechanism5,distance,dispersal.ref,NZ.dispersal.notes,overseas.dispersal.notes,DW.dispersal.notes,NZseeds,NZFloraOnline,NZPCN,Kew SID,n_mech,n_synd,n_nonstd_mech
Epilobium hirsutum L.,Epilobium hirsutum,NA,great willowherb,not in Flora or NZ Flora Online; NZPCN: semi-aquatic,NA,herb,2,NZPCN: Wetlands margins and damp ground in wasteland and urban areas.,NA,capsule,dry,plumed seed,1e-4,wind,NA,wind,water,internal,NA,NA,NA,Soomers et al. 2013; Albert et al. 2015; Almeida et al. 2022; NZPCN,wind dispersed seeds (NZPCN),"seeds dispersed internally by deer (Albert et al. 2015); wind dispersed, moderate floating potential (Soomers et al. 2013); Seeds have white tufts of hair that aid in their dispersal by wind (https://plants.ces.ncsu.edu/plants/epilobium-hirsutum/, 21/6/2022). seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,3,1,2
Equisetum arvense L.,Equisetum arvense,NA,field horsetail,NA,NA,NA,NA,NA,NA,spore,fern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-06-07T00:00:00Z,NA,NA,0,0,NA
Eragrostis curvula (Schrad.) Nees,Eragrostis curvula,NA,African love grass,NA,grass,herb,0.7,"NZ Flora Online: bank, dry, grassland, hill, pasture, roadside, sand, slope, wasteland; NZPCN: Dry steep sites, short and tall tussock grassland, coastal areas, riverbeds, cliffs, herbfields.",riparian,caryopsis,dry,none,2e-4,unspecialised,NA,wind.none,NA,NA,NA,NA,NA,McIntyre et al. 1995; NZPCN,Can be dispersed short distances by wind (NZPCN),Undefined seed dispersal morphology (McIntyre et al. 1995),NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z,1,1,1
Erica arborea L.,Erica arborea,NA,tree heath,shrub or small tree,NA,tree,5,"NZ Flora Online: bank, margin, open, pasture, roadside, slope, track; NZPCN: Riverbanks and regenerating forest.",riparian,capsule,dry,none,7.000000000000001e-5,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NA,see info for Erica lusitanica,NA,dispersal based on morphology,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,0,1,0
Erica baccans L.,Erica baccans,NA,berry heath,NA,NA,shrub,2.5,"NZ Flora Online: bank, dry, flat , hill, lowland, margin, open, roadside, sand, shrubland, slope, stone",NA,capsule,dry,none,8e-5,unspecialised,NA,unknown,NA,NA,NA,NA,NA,Atkinson 1997,Dispersed by gravity and humans (Atkinson 1997); see info for Erica lusitanica,NA,NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z,0,1,0
Erica caffra L.,Erica caffra,NA,hedge heath,NA,NA,shrub,3,"NZ Flora Online: bank, clay, hill, ridge, roadside, shaded, sheltered, shrubland",NA,capsule,dry,none,1.6e-5,unspecialised,NA,unknown,NA,NA,NA,NA,NA,NZPCN,"People, gravity (NZPCN); see info for Erica lusitanica",NA,NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,0,1,0
Erica cinerea L.,Erica cinerea,NA,bell heather,NA,NA,shrub,0.3,NZPCN: Low stature shrub and tussock communities,NA,capsule,dry,none,0.00013220000000000001,unspecialised,NA,wind.none,attachment,internal,NA,NA,"90.4% of seeds dispersed within 0.8m from centre of plant, maximum distance 80m rare events",Esler 1988; Bullock & Clarke 2000; Albert et al. 2015,Esler 1988 says unspecialised,Although the seeds bear no specialised structures they are wind-dispersed; measured dispersal distances using seed traps around isolated plants (Bullock & Clarke 2000). seeds dispersed by deer internally (sometimes) and attached to fur (always) and hooves (sometimes; Albert et al. 2015).,NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,3,1,3
Erica lusitanica Rudolphi,Erica lusitanica,NA,Spanish heath,NA,NA,shrub,2,"NZ Flora Online: alpine, bank, clay, coast, dry, flat, forest, gap, grassland, gravel, gully, hill, log, lowland, margin, moist, open, pasture, peat, ridge, roadside, sand, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland, wetland",NA,capsule,dry,none,1.2e-5,unspecialised,NA,wind.none,NA,NA,NA,NA,NA,Esler 1988; Mather & Williams 1990; Cronk & Fuller 1995,has no active structures aiding active dispersal and very small (dust) seeds weighing <0.1 mg (Esler 1988); seeds are released gradually as capsules are shaken gently by wind or passing animals (Mather & Williams 1990).,wind dispersed (Cronk & Fuller 1995),NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,1,1,1
Erica vagans L.,Erica vagans,NA,Cornish heath,"capsules not seen (Webb et al. 1988); Seed capsules have not been seen in NZ (NZPCN website, accessed 13 April 2023). Shrub 50 - (70) cm high.",NA,shrub,0.5,NA,NA,capsule,dry,NA,4.8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z,0,0,NA
Erigeron karvinskianus DC.,Erigeron karvinskianus,NA,Mexican daisy,NA,NA,herb,0.4,"NZ Flora Online: bank, clay, cliff, coast, dry, gap, gorge, gravel, hill, lowland, margin, moist, open, pasture, ridge, riparian, roadside, rock outcrop, sand, scrubland, shaded, sheltered, slope, stone, terrace, track, wasteland; NZPCN: Intact and disturbed bush, shrubland, tussockland, fernland, herbfield, bare land, streamsides, cliffs and bluffs, inshore and offshore islands, gumlands, consolidated sand dunes, most coastal areas, riverbeds, epiphyte niches.",riparian,achene,dry,pappus,5.24e-5,wind,NA,wind,water,NA,NA,NA,NA,NZPCN,"Spreads mainly by windblown seeds. Other dispersal methods include roadside mowers, machinery, gravel and water actions. (NZPCN)",NA,NA,NA,2022-06-07T00:00:00Z,45029,2023-04-13T00:00:00Z,2,1,1
Erythranthe guttata (DC.) G.L.Nesom,Erythranthe guttata,Mimulus guttatus,NA,NA,NA,herb,0.6,"NZ Flora Online: bank, forest, forest edge, gravel, lowland, moist, open, pasture, peat, riparian, river terrace, riverbed, roadside, rock outcrop, sand, sheltered, shrubland, silt, slope, terrace, wetland; Lowland to montane regions, alongside streams, rivers, lakes, drains and swamps.",riparian,capsule,dry,none,2.9999999999999997e-5,unspecialised,NA,water,NA,NA,NA,NA,NA,NZPCN,"reproduces from seed and rhizome fragments. Dispersal by water movement and dumped soil (NZPCN website, accessed 13 April 2023, Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA))","M. aurantiacus: Unassisted and/or methods originating from parent plant; Method not stated; (Keeley, 1991, cited in Kew SID)",dispersal based on morphology,NA,2022-06-07T00:00:00Z,45029,2023-04-13T00:00:00Z,1,1,1
Erythrina ×sykesii Barneby & Krukoff,Erythrina xsykesii,NA,coral tree,Pods not formed (Webb et al. 1988).,NA,NA,NA,NA,NA,pod,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-07T00:00:00Z,NA,NA,0,0,NA
Eschscholzia californica Cham.,Eschscholzia californica,NA,californian poppy,NA,NA,herb,0.3,NA,NA,capsule,dry,none,0.0015,unspecialised,NA,unknown,NA,NA,NA,NA,NA,SID,NA,"Unassisted and/or methods originating from parent plant; Method not stated; (Keeley 1991, cited in SID)",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z,0,1,0
Eucalyptus delegatensis F.Muell. ex R.T.Baker,Eucalyptus delegatensis,NA,alpine ash,large or very large tree,NA,tree,30,"NZ Flora Online: gravel, track; NZPCN: Regenerating near old plantations.",NA,dehiscent capsule,dry,none,0.00891,unspecialised,NA,wind.none,NA,NA,NA,NA,NA,SID,NA,"1. Wind; Diaspore is blown by wind; Method not stated; (Young & Young, 1992, cited in Kew SID); Diaspore=seed. On the basis of seed morphology it is also likely that unassisted dispersal plays a key role, with seeds dropping to the ground close to the parent plant. 2. Wind; Diaspore is blown by wind; Method not stated; (Cremer, 1977, cited in Kew SID)",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,1,1,1
Euonymus europaeus L.,Euonymus europaeus,NA,spindle tree,capsule with fleshy aril; shrub or small tree up to 6 m high,shrub-tree,shrub,6,"NZ Flora Online: bank, clay, coast, dry, forest, forest edge, gap, hill, lake margin, lowland, margin, moist, open, pasture, riparian, roadside, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland, wetland",riparian,aril,fleshy,fleshy,0.038950000000000005,internal,NA,internal,NA,NA,NA,NA,NA,Webb et al. 1988; Burrows 1995; Williams & Karl 1996; Higgins et al. 2006,"Fruits are bird-dispersed and, as a result, seedlings often appear spontaneously within gardens (Webb et al. 1988). Seeds dispersed by silvereyes (Williams & Karl 1996; Henderson unpubl. data). Bird dispersed (Burrows 1995). Fruits eaten by silvereyes (Higgins et al. 2006).",England: fruits are eaten by blackbird & occasionally song thrush; also eaten by other bird species (Snow & Snow 1988).,NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z,1,1,0
Euonymus japonicus Thunb.,Euonymus japonicus,NA,Japanese spindle tree,"capsule with fleshy aril, shrub or small tree up to 7 m high",shrub-tree,shrub,7,"NZ Flora Online: bank, clay, coast, dry, loam, lowland, open, roadside, sand, shaded, sheltered, shrubland, slope, stone, terrace, unstable/eroded",NA,aril,fleshy,fleshy,0.029670000000000002,internal,NA,internal,NA,NA,NA,NA,NA,Ando et al. 2022,Euonymus europaeus seeds dispersed by birds (Webb et al. 1988; Williams & Karl 1996),viable seeds in pigeon faeces in Japan (Ando et al. 2022),NA,NA,2022-06-07T00:00:00Z,NA,2023-06-16T00:00:00Z,1,1,0
Eupatorium cannabinum L.,Eupatorium cannabinum,NA,hemp agrimony,NA,NA,herb,1.8,"NZ Flora Online: bank, clay, coast, dry, forest edge, gap, gully, hill, lowland, margin, moist, open, pasture, peat, roadside, sand, sheltered, shrubland, silt, slope, stone, terrace, tussockland, wasteland, wetland; NZPCN: Wetlands and riparian margins of water bodies, particularly areas that are rich in Nitrogen.",riparian,achene,dry,pappus,2.9e-4,wind,NA,wind,internal,water,attachment,NA,NA,Matlack 1987; Couvreur et al. 2004; Albert et al. 2015; Almeida et al. 2022; NZPCN,"Produces thousands of tiny wind dispersed seeds. Also has the potential to spread by water and contaminated machinery, deliberate planting (NZPCN Factsheet prepared by Paul Champion and Deborah Hofstra (NIWA)).","Wind; Diaspore is blown by wind; Method not stated; Diaspore=achene+pappus (Matlack 1987). Seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, wind-dispersed plumed seed (Couvreur et al. 2004).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-07T00:00:00Z,45029,2022-06-21T00:00:00Z,4,1,3
Euphorbia paralias L.,Euphorbia paralias,NA,sea spurge,Euphorbia: Fr. usually a 3-celled capsule separating at maturity from the persistent axis,NA,herb,0.7,NZPCN: Coastal - on sandy beaches and sand dunes. A strand-line species.,NA,capsule,dry,buoyant seed,0.0058,water,NA,water,NA,NA,NA,NA,NA,SID,NA,"Water; Method not stated; (Ridley, 1930, cited in Kew SID); Diaspore=seed. The diaspore is buoyant.",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,1,1,0
Fatsia japonica (Thunb.) Decne. & Planch.,Fatsia japonica,NA,fatsia,shrub or small tree up to 2 (-4)m high; NZPCN: Tree (up to 6 m),NA,shrub,2,"NZ Flora Online:  bank, coast, dry, lowland, moist, pasture, roadside, sand, shaded, sheltered, shrubland, slope, stone, terrace, wasteland",NA,berry-like,fleshy,fleshy,0.0070999999999999995,internal,NA,internal,NA,NA,NA,NA,NA,Rogan 1997,"while naturalised plants are generally found in bush near residential areas they are frequently found with no adult plants in the immediate vicinity, suggesting that the seed is dispersed a reasonable distance, most probably by birds, e.g. starlings, blackbirds, mynas, song thrushes and kereru (Rogan 1997).",NA,NA,NA,2022-06-15T00:00:00Z,NA,2023-06-16T00:00:00Z,1,1,0
Festuca rubra L.,Festuca rubra,NA,Chewing's fescue,inflorescence is up to 45 cm long,grass,herb,0.45,"NZ Flora Online:  alpine, bank, cliff, coast, dry, flat , forest, forest edge, grassland, gravel, gully, hill, lake margin, loam, lowland, margin, moist, montane, open, pasture, peat, ridge, riparian, river terrace, riverbed, roadside, rock outcrop, sand, scree, scrubland, shaded, sheltered, shrubland, silt, slope, stone, terrace, track, tussockland, wasteland",riparian,caryopsis,dry,awn,0.0011,attachment,NA,attachment,internal,NA,NA,NA,NA,Couvreur et al. 2004; Mouissie et al. 2005; Albert et al. 2015; Almeida et al. 2022,Festuca arundinacea has no structures directly aiding active seed dispersal and medium-sized seeds (1-10 mg) (Esler 1988).,"seeds attached to real sheep fleece in considerable numbers, also attached to both sheep and cattle experimental dummies (Mouissie et al. 2005); seeds are dispersed internally by deer (sometimes; Albert et al. 2015). Seeds dispersed attached to cattle and donkey fur, animal-dispersed with awn (Couvreur et al. 2004).  seeds ingested by waterfowl (Almeida et al. 2022).",NA,NA,2022-06-07T00:00:00Z,NA,2022-06-21T00:00:00Z,2,1,1
Ficus macrophylla Desf.,Ficus macrophylla,NA,Moreton Bay fig,"not in flora (see: Heenan et al. 1998 for casual record but no description, NZPCN website and Flora of Australia Online https://profiles.ala.org.au/opus/foa/profile/Ficus%20macrophylla, accessed 16/6/2023)",NA,tree,55,"NZ Flora Online: coast, dry, margin, open, roadside, shaded, sheltered",NA,syncarp,fleshy,fleshy,0.0020299999999999997,internal,NA,internal,NA,NA,NA,NA,NA,Moncrieff 1928; Macdonald 1951; Anderson 2006; Spurr et al. 2011,"house sparrows eat figs (Moncrieff 1928); myna, blackbird, starling, silvereye, house sparrow, and grey warbler all feeding in two fig trees in urban garden, Howick, Auckland, at same time (Macdonald 1951); bellbirds eat Ficus spp. fruits",NA,NA,NA,2022-06-07T00:00:00Z,45093,2023-06-16T00:00:00Z,1,1,0
Fraxinus excelsior L.,Fraxinus excelsior,NA,ash,NA,NA,tree,30,"NZ Flora Online: bank, clay, dry, forest, gap, gravel, gully, hill, loam, lowland, margin, moist, open, pasture, river terrace, rock outcrop, sand, shaded, sheltered, shrubland, silt, slope, stone, terrace, wasteland' NZPCN: riverflats, forest, scrub and waste places.",riparian,samara,dry,winged seed,0.0616,wind,NA,wind,internal,NA,NA,NA,NA,Spurr et al. 2011; SID,bellbirds eat fruits (Spurr et al. 2011),"Wind; Diaspore is blown by wind; Direct or experimental observation; (van der Pijl, 1982, cited in Kew SID); Diaspore=samara. The diaspore has wings or wing-like features.",NA,NA,2022-06-07T00:00:00Z,45040,2022-06-21T00:00:00Z,2,1,1
Fuchsia boliviana Carrière,Fuchsia boliviana,NA,Bolivia fuchsia,shrub to 3m high,NA,shrub,3,"NZ Flora Online: bank, clay, coast, gravel, gully, lowland, margin, roadside, sand, shaded, silt, wasteland",NA,berry,fleshy,fleshy,NA,internal,NA,internal,NA,NA,NA,NA,NA,NA,NA,NA,dispersal based on morphology,NA,2022-06-15T00:00:00Z,NA,NA,1,1,0
Furcraea foetida (L.) Haw.,Furcraea foetida,NA,NA,NA,NA,NA,NA,NA,NA,NA,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-07T00:00:00Z,NA,NA,0,0,NA
Furcraea selloa K.Koch,Furcraea selloa,NA,NA,not in Flora; Furcraea: Some spp. reproducing only by bulbils and not forming seed; no data in Kew SID; Wilcox 2005: Flower stem to 5m; Peter de Lange pers. comm. 20/7/2022: never seen setting seed,NA,shrub,5,NA,NA,NA,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,none,2022-06-07T00:00:00Z,NA,NA,0,0,NA
