mechanism,freq,prop
ant,25,0.06476683937823834
attachment,50,0.12953367875647667
ballistic,15,0.038860103626943004
bird nesting material,9,0.023316062176165803
internal,177,0.4585492227979275
scatterhoarding,2,0.0051813471502590676
unknown,23,0.05958549222797927
water,92,0.23834196891191708
wind,76,0.19689119170984457
wind.none,49,0.12694300518134716
